CounterpartyAccount,TransactionAmount,TransactionType,MerchantCategory,Location,DeviceType,IsFraud,FraudType,TimeSinceLastTransaction,SpendingDeviationScore,VelocityScore,GeoAnomalyScore,PaymentChannel,TransactionAmountBinned,Target
4,-0.7847333267728032,3,1,4,1,True,0,-0.9472699845351842,-0.8811906552260558,0.6816888468192551,-0.5081282667475486,0,0,0
5,1.7424128158242496,0,0,0,0,True,0,0.5239731041476674,0.5139423961213667,-0.6167660995031359,-0.7093671842713305,1,2,0
1,-0.8620499240778674,2,3,0,0,True,0,1.9915975627233107,0.9140173152577599,-0.2921523629225381,-0.5584379961284941,0,0,0
0,1.6426751285616834,0,2,3,1,True,0,-1.3935807304749745,0.21645078958404865,-1.752914177535228,1.6048803672521592,0,2,0
3,-0.843654986833164,1,2,4,2,True,0,-0.065342344974101,0.26774244588358626,-0.7790729677934347,-1.967110418794966,1,0,0
8,-0.6611280276199925,1,2,5,3,True,0,-0.3486263594175322,0.5960090462006268,1.1686094516901517,0.4477565914904141,0,1,1
9,0.8747166344689122,0,2,2,0,True,0,0.3707634037315047,-0.029749160653731774,-0.9413798360837335,-0.35719907860471223,3,2,1
7,0.21269176325061975,3,0,4,3,True,0,1.2834817689019884,-2.050640418855513,0.03246137365805966,1.353331720347432,1,2,1
6,-0.4667636972572148,1,4,0,0,True,0,-0.6446678403942522,1.5192588595923033,1.1686094516901517,0.14589821520474186,2,1,1
10,-0.8541663795444231,2,1,1,0,True,0,-0.7703285797084263,-1.0658406179043913,1.3309163199804506,0.5483760502523051,1,0,1
