TransactionAmount,TransactionType,MerchantCategory,Location,DeviceType,SpendingDeviationScore,VelocityScore,GeoAnomalyScore,PaymentChannel
343.78,3,7,6,1,-0.21,3,0.22,2
419.65,3,2,7,0,-0.14,7,0.96,0
2773.86,0,3,2,2,-1.78,20,0.89,2
1666.22,0,2,5,2,-0.6,6,0.37,3
24.43,2,7,7,1,0.79,13,0.27,0
58.77,2,0,0,0,-1.63,19,0.4,1
59.51,1,6,1,2,-2.62,1,0.68,1
29.79,2,0,2,0,-0.48,5,0.37,0
16.0,2,7,3,3,0.99,3,0.98,2
203.05,3,1,1,0,0.59,17,0.45,1
1237.07,0,6,3,3,1.64,3,0.51,2
465.45,3,6,2,2,-1.11,14,0.41,3
14.18,3,3,6,2,-0.14,3,0.44,0
34.58,1,5,6,2,0.75,13,0.27,2
1283.35,0,4,3,1,-1.96,6,0.06,1
1258.92,0,6,1,0,-0.04,7,0.67,3
1444.64,0,5,4,1,-1.15,5,0.93,2
1120.17,0,1,2,3,-0.28,4,0.89,3
4.49,1,1,3,1,0.14,11,0.77,1
1433.12,0,4,6,2,-0.26,2,0.31,0
413.32,3,7,6,3,1.61,11,0.78,1
311.77,3,3,7,0,0.25,8,0.02,0
37.3,1,4,3,1,1.11,9,0.04,3
1514.87,0,2,3,3,2.31,14,0.07,3
7.02,2,0,0,2,-0.95,20,0.57,1
10.49,2,3,4,2,-1.94,17,0.47,0
156.29,3,7,6,1,0.04,3,0.46,2
1426.59,0,2,0,3,1.13,2,0.56,1
232.33,1,2,4,3,-1.59,9,0.77,1
56.98,2,6,6,3,0.52,13,0.69,0
12.64,1,2,3,2,0.93,13,0.85,1
82.89,1,0,4,3,0.03,13,0.59,2
242.33,3,3,7,0,-0.43,14,0.25,1
1067.98,0,5,0,3,2.42,20,0.15,2
149.59,0,0,5,1,1.18,13,0.4,2
671.66,0,4,1,0,-0.57,17,0.65,2
211.42,3,2,6,0,-1.82,19,0.27,1
66.38,1,4,3,2,0.41,6,0.49,3
238.44,3,2,4,3,-0.71,1,0.09,1
14.91,2,4,4,0,-0.92,9,0.23,3
12.27,2,6,0,0,-0.54,18,0.13,0
28.53,1,3,4,0,0.65,2,0.25,0
447.6,3,0,5,1,1.25,20,0.6,0
470.36,0,6,0,3,1.15,3,0.16,3
324.63,0,7,5,0,0.66,9,0.79,1
411.53,3,1,5,2,0.32,15,0.69,2
123.84,2,5,2,3,1.49,9,0.58,2
104.16,1,6,4,0,-0.0,11,0.32,1
2073.2,0,3,2,0,-1.18,13,0.86,3
215.32,1,5,0,0,2.37,10,0.44,0
1059.6,0,7,2,2,-0.35,10,0.51,2
386.3,3,6,5,2,-0.46,17,0.27,3
21.18,1,3,7,3,-0.66,14,0.04,0
27.64,2,6,4,1,-0.32,1,0.72,1
1224.09,0,4,1,0,0.19,3,0.23,1
0.01,3,1,3,1,-0.19,2,0.29,3
446.5,3,0,2,2,-1.32,8,0.46,0
1401.61,0,3,7,0,0.02,9,0.46,1
14.25,2,1,3,2,2.0,2,0.91,3
397.02,3,6,3,0,0.1,2,0.58,1
25.72,2,1,6,0,0.82,11,0.8,1
86.37,1,5,5,1,-0.17,12,0.67,1
467.77,3,6,4,0,0.23,2,0.3,1
4.29,1,0,1,1,0.2,20,0.41,1
1142.37,0,4,7,1,-0.43,15,0.09,1
0.01,3,7,0,0,2.59,20,0.0,0
13.09,2,7,7,1,-0.05,14,0.53,0
842.25,0,1,4,1,0.52,16,0.85,2
125.4,0,0,5,0,1.23,15,0.51,1
65.94,1,2,1,1,-0.04,14,0.31,3
697.94,0,4,6,1,-0.5,14,0.87,3
60.75,1,7,2,0,-0.9,4,0.76,3
6.1,2,4,3,3,-0.93,5,0.74,0
12.32,2,6,3,3,-0.41,20,0.05,0
1084.2,0,4,1,1,-0.58,17,0.67,3
18.72,2,1,7,1,-1.21,16,0.75,2
1163.52,0,2,3,2,-0.39,11,0.58,2
83.34,1,4,2,2,0.1,8,0.44,2
1264.0,0,7,7,0,0.05,7,0.17,0
98.6,2,4,6,2,0.56,16,0.44,2
921.97,0,4,5,1,-0.89,15,0.58,2
53.07,2,6,6,1,-0.79,15,0.99,0
1309.83,0,4,2,0,-0.92,9,0.72,2
171.6,1,0,2,0,-0.35,11,0.81,1
